iteration,exploitability_for_42_outcome_sampling_MCCFR
1,0.9166666666666665
2,0.875
3,0.875
5,0.875
6,0.875
7,0.7916666666666667
10,0.8401515151515152
12,0.6871804787707929
15,0.6670864798834943
19,0.6845977446865581
25,0.7226176229925304
31,0.7432394110123304
39,0.7591887549887167
50,0.5879870092908481
63,0.5173558580468194
79,0.4432254578551818
100,0.46887031627925124
125,0.43950537222713426
158,0.3938770827664623
199,0.3728415742069129
251,0.3603479141693658
316,0.34489586575602244
398,0.2919932910630396
501,0.20345861551676642
630,0.24792564936100978
794,0.27857970762660134
1000,0.23114863920853243
1258,0.1453004479945906
1584,0.11396237565853881
1995,0.0837510987039744
2511,0.1030249123946029
3162,0.07090979041834267
3981,0.06842402750065771
5011,0.09625610461913855
6309,0.0764697952796829
7943,0.06348641879215072
10000,0.0709175365561677
12589,0.08183051418531406
15848,0.031760228454424166
19952,0.05516240264108971
25118,0.03264287593709281
31622,0.058073207100552526
39810,0.05957152378948272
50118,0.0526937994997741
63095,0.06150749729393515
79432,0.06807231966874044
100000,0.07116928447971513
125892,0.06755142246475332
158489,0.065734625252229
199526,0.06798806495643775
251188,0.0756319258163359
316227,0.06962545891458027
398107,0.07237350212253985
501187,0.06965180271474286
630957,0.07342032290174108
794328,0.07683281219111895
1000000,0.07386862757222376
