iteration,exploitability_for_42_chance_sampling_CFR
1,2.0625
2,2.1783854166666665
3,2.1588541666666665
5,1.9171006944444446
6,1.7012442129629632
7,1.4269386574074074
10,1.4071903935185186
12,1.209534143518519
15,1.0811160714285717
19,0.9858908351766326
25,0.8083815083232183
31,0.6756550513365656
39,0.5596345455093968
50,0.4217921895515747
63,0.3507324555022342
79,0.3152447536523061
100,0.29993924070145755
125,0.3075826068904558
158,0.2795115506430145
199,0.26692950006822197
251,0.24819484217671792
316,0.2120000560765566
398,0.1867357310927777
501,0.2035361566663335
630,0.16730052823402453
794,0.12691801900678717
1000,0.13378517201363405
1258,0.15811872490053872
1584,0.12413970089497858
1995,0.08213518828469578
2511,0.06281777534199921
3162,0.0709102400549009
3981,0.057131540141424936
5011,0.04583449772093498
6309,0.04763949521071867
7943,0.041576081141274326
10000,0.03415939932416193
12589,0.027895874495375
15848,0.029891193747689178
19952,0.02790562220334903
25118,0.022007513000164285
31622,0.016011024493925725
39810,0.014917702059603459
50118,0.013534346643764988
63095,0.012678780011718481
79432,0.011278153584814973
100000,0.009116626653666693
125892,0.007633312431079675
158489,0.006610830298312408
199526,0.006349397363227795
251188,0.006169086281882903
316227,0.004198507982059611
398107,0.0041139203379634
501187,0.0038137265719913604
630957,0.002976437388060693
794328,0.004410340199340668
1000000,0.004821206192798848
